"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"paperclipai/paperclip","TypeScript",1763,20,"2026-08-19T14:04:57.322Z"
"ventoy/Ventoy","C",302,115,"2026-08-19T14:04:57.322Z"
"unclecode/crawl4ai","Python",224,20,"2026-08-19T14:04:57.322Z"
"awesomedata/awesome-public-datasets","N/A",188,1,"2026-08-19T14:04:57.322Z"
"Leonxlnx/taste-skill","JavaScript",8,0,"2026-08-19T14:04:57.322Z"
"opendatalab/MinerU","Python",1539,186,"2026-08-19T14:04:57.322Z"
"elastic/elasticsearch","Java",95522,260,"2026-08-19T14:04:57.322Z"
"tensorflow/models","Python",2345,51,"2026-08-19T14:04:57.322Z"
"dair-ai/Prompt-Engineering-Guide","MDX",342,0,"2026-08-19T14:04:57.322Z"
"nomic-ai/gpt4all","C++",938,38,"2026-08-19T14:04:57.322Z"
"FortAwesome/Font-Awesome","JavaScript",222,65,"2026-08-19T14:04:57.322Z"
"MisterBooo/LeetCodeAnimation","Java",63,0,"2026-08-19T14:04:57.322Z"
"rtk-ai/rtk","Rust",549,279,"2026-08-19T14:04:57.322Z"
"nestjs/nest","TypeScript",8699,158,"2026-08-19T14:04:57.322Z"
"grafana/grafana","TypeScript",69443,640,"2026-08-19T14:04:57.322Z"
"sdmg15/Best-websites-a-programmer-should-visit","N/A",430,0,"2026-08-19T14:04:57.322Z"
"redis/redis","C",4762,150,"2026-08-19T14:04:57.322Z"
"tesseract-ocr/tesseract","C++",1467,36,"2026-08-19T14:04:57.322Z"
"ocornut/imgui","C++",427,122,"2026-08-19T14:04:57.322Z"
"AppFlowy-IO/AppFlowy","Dart",3895,142,"2026-08-19T14:04:57.322Z"
"typicode/json-server","JavaScript",171,49,"2026-08-19T14:04:57.322Z"
"openai/openai-cookbook","Jupyter Notebook",1082,0,"2026-08-19T14:04:57.322Z"
"obsproject/obs-studio","C",5563,247,"2026-08-19T14:04:57.322Z"
"D4Vinci/Scrapling","Python",104,52,"2026-08-19T14:04:57.322Z"
"PKUFlyingPig/cs-self-learning","HTML",319,5,"2026-08-19T14:04:57.322Z"
"caddyserver/caddy","Go",2393,136,"2026-08-19T14:04:57.322Z"
"shareAI-lab/learn-claude-code","Python",82,0,"2026-08-19T14:04:57.322Z"
"python/cpython","Python",62670,0,"2026-08-19T14:04:57.322Z"
"enaqx/awesome-react","N/A",798,0,"2026-08-19T14:04:57.322Z"
"apache/superset","Python",19684,267,"2026-08-19T14:04:57.322Z"
"hiyouga/LlamaFactory","Python",1019,36,"2026-08-19T14:04:57.322Z"
"abi/screenshot-to-code","Python",83,0,"2026-08-19T14:04:57.322Z"
"josephmisiti/awesome-machine-learning","Python",928,0,"2026-08-19T14:04:57.322Z"
"Eugeny/tabby","TypeScript",1580,209,"2026-08-19T14:04:57.322Z"
"unionlabs/union","Rust",3128,113,"2026-08-19T14:04:57.322Z"
"twitter/the-algorithm","Scala",2,0,"2026-08-19T14:04:57.322Z"
"datawhalechina/hello-agents","Python",171,3,"2026-08-19T14:04:57.322Z"
"unslothai/unsloth","Python",3527,54,"2026-08-19T14:04:57.322Z"
"thedaviddias/Front-End-Checklist","MDX",180,2,"2026-08-19T14:04:57.322Z"
"vuejs/awesome-vue","N/A",3655,0,"2026-08-19T14:04:57.322Z"
"binhnguyennus/awesome-scalability","N/A",37,0,"2026-08-19T14:04:57.322Z"
"CompVis/stable-diffusion","Jupyter Notebook",5,0,"2026-08-19T14:04:57.322Z"
"Panniantong/Agent-Reach","Python",172,7,"2026-08-19T14:04:57.322Z"
"strapi/strapi","TypeScript",10374,541,"2026-08-19T14:04:57.322Z"
"danielmiessler/SecLists","PHP",709,30,"2026-08-19T14:04:57.322Z"
"fffaraz/awesome-cpp","N/A",885,0,"2026-08-19T14:04:57.322Z"
